unimorph_iso	INF	PST.SG	PST.PL	PTCP
isl	njósna	njósnar	njósnuðu	njósnað
isl	ástunda	ástundaði	ástunduðu	ástundað
isl	glampa	glampar	glömpuðu	glampað
isl	kreista	kreisti	kreistu	kreist
isl	blogga	bloggaði	blogguðu	bloggað
isl	glymja	glymur	glumdu	glumið
isl	hrifsa	hrifsaði	hrifsuðu	hrifsað
isl	göfga	göfgaði	göfguðu	göfgað
isl	stimpla	stimplaði	stimpluðu	stimplað
isl	rengja	rengdi	rengdu	rengt
isl	skenkja	skenkti	skenktu	skenkt
isl	tákna	táknaði	táknuðu	táknað
isl	gylla	gyllti	gylltu	gyllt
isl	gæsa	gæsaði	gæsuðu	gæsað
isl	pexa	pexaði	pexuðu	pexað
isl	bæla	bældi	bældu	bælt
isl	marra	marrar	mörruðu	marrað
isl	raula	raulaði	rauluðu	raulað
isl	skatta	skattaði	sköttuðu	skattað
isl	krefja	krafði	kröfðu	krafið
isl	leiðrétta	leiðrétti	leiðréttu	leiðrétt
isl	semja	samdi	sömdu	samið
isl	gegna	gegnir	gegndu	gegnt
isl	hvæsa	hvæsti	hvæstu	hvæst
isl	helta	helti	heltu	helt
isl	pota	potaði	potuðu	potað
isl	tefla	tefldi	tefldu	teflt
isl	afla	aflaði	öfluðu	aflað
isl	djóka	djókar	djókuðu	djókað
isl	megna	megnar	megnuðu	megnað
isl	liðsinna	liðsinnti	liðsinntu	liðsinnt
isl	passa	passaði	pössuðu	passað
isl	sameina	sameinaði	sameinuðu	sameinað
isl	sleppa	slapp	sluppu	sloppið
isl	smíða	smíðaði	smíðuðu	smíðað
isl	skjalla	skjallaði	skjölluðu	skjallað
isl	gilda	gilti	giltu	gilt
isl	treysta	treysti	treystu	treyst
isl	dripla	driplar	dripluðu	driplað
isl	gorta	gortar	gortuðu	gortað
isl	rýna	rýndi	rýndu	rýnt
isl	fórna	fórnaði	fórnuðu	fórnað
isl	skoða	skoðaði	skoðuðu	skoðað
isl	hakka	hakkaði	hökkuðu	hakkað
isl	hræða	hræddi	hræddu	hrætt
isl	hneigja	hneigði	hneigðu	hneigt
isl	framlengja	framlengdi	framlengdu	framlengt
isl	neyða	neyddi	neyddu	neytt
isl	klúðra	klúðraði	klúðruðu	klúðrað
isl	roðna	roðnar	roðnuðu	roðnað
isl	tapa	tapaði	töpuðu	tapað
isl	svekkja	svekkti	svekktu	svekkt
isl	þreskja	þreskti	þresktu	þreskt
isl	þagga	þaggaði	þögguðu	þaggað
isl	gæta	gætti	gættu	gætt
isl	fækka	fækkar	fækkuðu	fækkað
isl	þefa	þefaði	þefuðu	þefað
isl	blífa	blífur	blifu	blifið
isl	járna	járnaði	járnuðu	járnað
isl	prenta	prentaði	prentuðu	prentað
isl	tefja	tafði	töfðu	tafið
isl	seiva	seivaði	seivuðu	seivað
isl	hreyfa	hreyfði	hreyfðu	hreyft
isl	kítta	kíttaði	kíttuðu	kíttað
isl	fylla	fyllti	fylltu	fyllt
isl	bylja	buldi	buldu	bulið
isl	ljúka	lauk	luku	lokið
isl	ávarpa	ávarpaði	ávörpuðu	ávarpað
isl	iðka	iðkaði	iðkuðu	iðkað
isl	þrymja	þrymur	þrumdu	þrumið
isl	mæta	mætti	mættu	mætt
isl	flýta	flýtti	flýttu	flýtt
isl	glæða	glæddi	glæddu	glætt
isl	lofa	lofaði	lofuðu	lofað
isl	æskja	æskti	æsktu	æskt
isl	mistúlka	mistúlkaði	mistúlkuðu	mistúlkað
isl	sætta	sætti	sættu	sætt
isl	dynja	dynur	dundu	dunið
isl	skerða	skerti	skertu	skert
isl	fyrirgefa	fyrirgaf	fyrirgáfu	fyrirgefið
isl	andmæla	andmælir	andmældu	andmælt
isl	versla	verslaði	versluðu	verslað
isl	kosta	kostaði	kostuðu	kostað
isl	hita	hitaði	hituðu	hitað
isl	lita	litaði	lituðu	litað
isl	masa	masar	mösuðu	masað
isl	marka	markaði	mörkuðu	markað
isl	aðgreina	aðgreindi	aðgreindu	aðgreint
isl	svipta	svipti	sviptu	svipt
isl	fleygja	fleygir	fleygðu	fleygt
isl	óska	óskaði	óskuðu	óskað
isl	geisla	geislaði	geisluðu	geislað
isl	poka	pokaði	pokuðu	pokað
isl	góla	gólar	góluðu	gólað
isl	sverfa	svarf	surfu	sorfið
isl	slaka	slakaði	slökuðu	slakað
isl	melta	melti	meltu	melt
isl	okra	okrar	okruðu	okrað
isl	hjakka	hjakkaði	hjökkuðu	hjakkað
isl	svíða	sveið	sviðu	sviðið
isl	kvæna	kvænti	kvæntu	kvænt
isl	minna	minnti	minntu	minnt
isl	veikja	veikti	veiktu	veikt
isl	kokka	kokkaði	kokkuðu	kokkað
isl	hryggja	hryggði	hryggðu	hryggt
isl	lauga	laugaði	lauguðu	laugað
isl	pretta	prettaði	prettuðu	prettað
isl	samþykkja	samþykkti	samþykktu	samþykkt
isl	æxla	æxlaði	æxluðu	æxlað
isl	snjóa	snjóar	snjóuðu	snjóað
isl	blómstra	blómstrar	blómstruðu	blómstrað
isl	hýsa	hýsti	hýstu	hýst
isl	hneppa	hneppti	hnepptu	hneppt
isl	kringja	kringdi	kringdu	kringt
isl	títra	títraði	títruðu	títrað
isl	kæta	kætti	kættu	kætt
isl	flissa	flissar	flissuðu	flissað
isl	skrýða	skrýddi	skrýddu	skrýtt
isl	mála	málaði	máluðu	málað
isl	toga	togaði	toguðu	togað
isl	mala	malaði	möluðu	malað
isl	áfrýja	áfrýjaði	áfrýjuðu	áfrýjað
isl	gista	gisti	gistu	gist
isl	skína	skín	skinu	skinið
isl	svindla	svindlar	svindluðu	svindlað
isl	vingsa	vingsaði	vingsuðu	vingsað
isl	þyngja	þyngdi	þyngdu	þyngt
isl	enda	endar	enduðu	endað
isl	kúka	kúkar	kúkuðu	kúkað
isl	auðga	auðgaði	auðguðu	auðgað
isl	stigbreyta	stigbreytti	stigbreyttu	stigbreytt
isl	bræða	bræddi	bræddu	brætt
isl	rappa	rappaði	röppuðu	rappað
isl	skeiða	skeiðar	skeiðuðu	skeiðað
isl	ómaka	ómakaði	ómökuðu	ómakað
isl	pára	páraði	páruðu	párað
isl	þróa	þróaði	þróuðu	þróað
isl	tinda	tindaði	tinduðu	tindað
isl	innleysa	innleysti	innleystu	innleyst
isl	slakna	slaknar	slöknuðu	slaknað
isl	strauja	straujaði	straujuðu	straujað
isl	lykta	lyktaði	lyktuðu	lyktað
isl	velja	valdi	völdu	valið
isl	lakka	lakkaði	lökkuðu	lakkað
isl	hylja	huldi	huldu	hulið
isl	tollera	tolleraði	tolleruðu	tollerað
isl	vænta	vænti	væntu	vænt
isl	strokka	strokkaði	strokkuðu	strokkað
isl	skíða	skíðar	skíðuðu	skíðað
isl	gagga	gaggaði	gögguðu	gaggað
isl	óttast	óttast	óttuðust	óttast
isl	hóta	hótaði	hótuðu	hótað
isl	babla	bablaði	böbluðu	bablað
isl	hoppa	hoppar	hoppuðu	hoppað
isl	svelgja	svelgdi	svelgdu	svelgt
isl	afmarka	afmarkaði	afmörkuðu	afmarkað
isl	raka	rakaði	rökuðu	rakað
isl	putta	puttaði	puttuðu	puttað
isl	klína	klíndi	klíndu	klínt
isl	dáleiða	dáleiddi	dáleiddu	dáleitt
isl	dýrka	dýrkaði	dýrkuðu	dýrkað
isl	véla	vélaði	véluðu	vélað
isl	banda	bandaði	bönduðu	bandað
isl	strekkja	strekkti	strekktu	strekkt
isl	vátryggja	vátryggði	vátryggðu	vátryggt
isl	éta	át	átu	étið
isl	lagga	laggar	lögguðu	laggað
isl	smakka	smakkaði	smökkuðu	smakkað
isl	áminna	áminnti	áminntu	áminnt
isl	kroppa	kroppaði	kroppuðu	kroppað
isl	flaka	flakaði	flökuðu	flakað
isl	hika	hikar	hikuðu	hikað
isl	beila	beilar	beiluðu	beilað
isl	fetta	fetti	fettu	fett
isl	þéra	þéraði	þéruðu	þérað
isl	afgreiða	afgreiddi	afgreiddu	afgreitt
isl	sundurliða	sundurliðaði	sundurliðuðu	sundurliðað
isl	sífra	sífrar	sífruðu	sífrað
isl	þrykkja	þrykkti	þrykktu	þrykkt
isl	geyma	geymdi	geymdu	geymt
isl	æpa	æpti	æptu	æpt
isl	meiða	meiddi	meiddu	meitt
isl	tálma	tálmaði	tálmuðu	tálmað
isl	flokka	flokkaði	flokkuðu	flokkað
isl	pynta	pyntaði	pyntuðu	pyntað
isl	kefja	kafði	köfðu	kafið
isl	ægja	ægir	ægðu	ægt
isl	æfa	æfði	æfðu	æft
isl	yfirgefa	yfirgaf	yfirgáfu	yfirgefið
isl	kæsa	kæsti	kæstu	kæst
isl	skaka	skók	skóku	skekið
isl	siða	siðaði	siðuðu	siðað
isl	peðra	peðraði	peðruðu	peðrað
isl	kvíða	kveið	kviðu	kviðið
isl	skulda	skuldaði	skulduðu	skuldað
isl	stýra	stýrði	stýrðu	stýrt
isl	strjúka	strauk	struku	strokið
isl	vana	vanaði	vönuðu	vanað
isl	kóða	kóðaði	kóðuðu	kóðað
isl	fanga	fangaði	fönguðu	fangað
isl	falsa	falsaði	fölsuðu	falsað
isl	rífa	reif	rifu	rifið
isl	gretta	gretti	grettu	grett
isl	tegra	tegraði	tegruðu	tegrað
isl	merja	marði	mörðu	marið
isl	tæla	tældi	tældu	tælt
isl	uppfæra	uppfærði	uppfærðu	uppfært
isl	drepa	drap	drápu	drepið
isl	þrengja	þrengdi	þrengdu	þrengt
isl	drekkja	drekkti	drekktu	drekkt
isl	kjaga	kjagar	kjöguðu	kjagað
isl	svengja	svengdi	svengdu	svengt
isl	plampa	plampaði	plömpuðu	plampað
isl	herða	herti	hertu	hert
isl	hræla	hrælaði	hræluðu	hrælað
isl	tálga	tálgaði	tálguðu	tálgað
isl	hrufla	hruflaði	hrufluðu	hruflað
isl	rymja	rymur	rumdu	rumið
isl	myrða	myrti	myrtu	myrt
isl	fitna	fitnar	fitnuðu	fitnað
isl	fyrirgjöra	fyrirgjörir	fyrirgjörðu	fyrirgjört
isl	bæra	bærði	bærðu	bært
isl	læra	lærði	lærðu	lært
isl	smala	smalaði	smöluðu	smalað
isl	skoppa	skoppar	skoppuðu	skoppað
isl	spila	spilaði	spiluðu	spilað
isl	erfa	erfði	erfðu	erft
isl	totta	tottaði	tottuðu	tottað
isl	minnka	minnkaði	minnkuðu	minnkað
isl	svæfa	svæfði	svæfðu	svæft
isl	granda	grandaði	grönduðu	grandað
isl	þrasa	þrasar	þrösuðu	þrasað
isl	emja	emjar	emjuðu	emjað
isl	hjúfra	hjúfrar	hjúfruðu	hjúfrað
isl	sæða	sæddi	sæddu	sætt
isl	losa	losaði	losuðu	losað
isl	móðga	móðgaði	móðguðu	móðgað
isl	svitna	svitnar	svitnuðu	svitnað
isl	tagga	taggaði	tögguðu	taggað
isl	veina	veinar	veinuðu	veinað
isl	kvelja	kvaldi	kvöldu	kvalið
isl	sakna	saknar	söknuðu	saknað
isl	freista	freistaði	freistuðu	freistað
isl	styggja	styggði	styggðu	styggt
isl	slasa	slasaði	slösuðu	slasað
isl	boga	bogar	boguðu	bogað
isl	tæma	tæmdi	tæmdu	tæmt
isl	synja	synjaði	synjuðu	synjað
isl	tigna	tignaði	tignuðu	tignað
isl	betra	betraði	betruðu	betrað
isl	aðvara	aðvaraði	aðvöruðu	aðvarað
isl	leyna	leyndi	leyndu	leynt
isl	senda	sendi	sendu	sent
isl	gagntaka	gagntók	gagntóku	gagntekið
isl	friða	friðaði	friðuðu	friðað
isl	aftaka	aftók	aftóku	aftekið
isl	gjamma	gjammaði	gjömmuðu	gjammað
isl	æmta	æmti	æmtu	æmt
isl	vanda	vandaði	vönduðu	vandað
isl	drottna	drottnar	drottnuðu	drottnað
isl	vefja	vafði	vöfðu	vafið
isl	drolla	drollaði	drolluðu	drollað
isl	lötra	lötrar	lötruðu	lötrað
isl	drýgja	drýgði	drýgðu	drýgt
isl	hrjósa	hrýs	hrusu	hrosið
isl	sekta	sektaði	sektuðu	sektað
isl	menga	mengaði	menguðu	mengað
isl	ginna	ginnti	ginntu	ginnt
isl	slátra	slátraði	slátruðu	slátrað
isl	springa	sprakk	sprungu	sprungið
isl	náða	náðaði	náðuðu	náðað
isl	ærslast	ærslast	ærsluðust	ærslast
isl	skamma	skammaði	skömmuðu	skammað
isl	bursta	burstaði	burstuðu	burstað
isl	grípa	greip	gripu	gripið
isl	mauka	maukaði	maukuðu	maukað
isl	næra	nærði	nærðu	nært
isl	óvirða	óvirti	óvirtu	óvirt
isl	æðrast	æðrast	æðruðust	æðrast
isl	deyfa	deyfði	deyfðu	deyft
isl	græta	grætti	grættu	grætt
isl	skýla	skýldi	skýldu	skýlt
isl	ýla	ýlir	ýldu	ýlt
isl	réna	rénar	rénuðu	rénað
isl	endurtaka	endurtók	endurtóku	endurtekið
isl	íþyngja	íþyngir	íþyngdu	íþyngt
isl	riðla	riðlaði	riðluðu	riðlað
isl	trúlofa	trúlofaði	trúlofuðu	trúlofað
isl	leigja	leigði	leigðu	leigt
isl	pissa	pissaði	pissuðu	pissað
isl	rannsaka	rannsakaði	rannsökuðu	rannsakað
isl	glissa	glissar	glissuðu	glissað
isl	pútta	púttaði	púttuðu	púttað
isl	tylla	tyllti	tylltu	tyllt
isl	þenja	þandi	þöndu	þanið
isl	skrifa	skrifaði	skrifuðu	skrifað
isl	vekja	vakti	vöktu	vakið
isl	þerra	þerraði	þerruðu	þerrað
isl	dýfa	dýfði	dýfðu	dýft
isl	sparka	sparkaði	spörkuðu	sparkað
isl	kúga	kúgaði	kúguðu	kúgað
isl	brokka	brokkar	brokkuðu	brokkað
isl	jarða	jarðaði	jörðuðu	jarðað
isl	hraða	hraðar	hröðuðu	hraðað
isl	byggja	byggði	byggðu	byggt
isl	arga	argaði	örguðu	argað
isl	tjarga	tjargaði	tjörguðu	tjargað
isl	freta	fretaði	fretuðu	fretað
isl	arka	arkar	örkuðu	arkað
isl	stykkja	stykkjaði	stykkjuðu	stykkjað
isl	afbaka	afbakaði	afbökuðu	afbakað
isl	þinga	þingaði	þinguðu	þingað
isl	fróa	fróar	fróuðu	fróað
isl	ösla	öslaði	ösluðu	öslað
isl	adda	addaði	ödduðu	addað
isl	gneggja	gneggjar	gneggjuðu	gneggjað
isl	smita	smitaði	smituðu	smitað
isl	aðstoða	aðstoðaði	aðstoðuðu	aðstoðað
isl	efla	efldi	efldu	eflt
isl	grynna	grynnti	grynntu	grynnt
isl	gubba	gubbaði	gubbuðu	gubbað
isl	mjólka	mjólkaði	mjólkuðu	mjólkað
isl	vanrækja	vanrækti	vanræktu	vanrækt
isl	hringa	hringaði	hringuðu	hringað
isl	uppdatera	uppdateraði	uppdateruðu	uppdaterað
isl	krydda	kryddaði	krydduðu	kryddað
isl	friðlýsa	friðlýsti	friðlýstu	friðlýst
isl	hylla	hyllti	hylltu	hyllt
isl	laða	laðaði	löðuðu	laðað
isl	labba	labbaði	löbbuðu	labbað
isl	hljóta	hlaut	hlutu	hlotið
isl	naga	nagaði	nöguðu	nagað
isl	þvarga	þvargaði	þvörguðu	þvargað
isl	laspra	laspraði	löspruðu	lasprað
isl	víkja	veik	viku	vikið
isl	hlýða	hlýðir	hlýddu	hlýtt
isl	þrefa	þrefaði	þrefuðu	þrefað
isl	játa	játaði	játuðu	játað
isl	hjala	hjalar	hjöluðu	hjalað
isl	svífa	sveif	svifu	svifið
isl	úthluta	úthlutaði	úthlutuðu	úthlutað
isl	hjúkra	hjúkrar	hjúkruðu	hjúkrað
isl	fylja	fyljaði	fyljuðu	fyljað
isl	yppa	yppti	ypptu	yppt
isl	forma	formaði	formuðu	formað
isl	öðlast	öðlast	öðluðust	öðlast
isl	trufla	truflaði	trufluðu	truflað
isl	afsaka	afsakaði	afsökuðu	afsakað
isl	elda	eldaði	elduðu	eldað
isl	skjóta	skaut	skutu	skotið
isl	venda	venti	ventu	vent
isl	hvína	hvein	hvinu	hvinið
isl	þjaka	þjakaði	þjökuðu	þjakað
isl	kryfja	krufði	krufðu	krufið
isl	hrapa	hrapaði	hröpuðu	hrapað
isl	þjálfa	þjálfaði	þjálfuðu	þjálfað
isl	loga	logar	loguðu	logað
isl	funa	funaði	funuðu	funað
isl	vola	volaði	voluðu	volað
isl	hvískra	hvískraði	hvískruðu	hvískrað
isl	afklæða	afklæddi	afklæddu	afklætt
isl	bana	banar	bönuðu	banað
isl	framleiða	framleiddi	framleiddu	framleitt
isl	plægja	plægði	plægðu	plægt
isl	spinna	spann	spunnu	spunnið
isl	merkja	merkti	merktu	merkt
isl	erja	erjaði	erjuðu	erjað
isl	tvinna	tvinnaði	tvinnuðu	tvinnað
isl	safna	safnaði	söfnuðu	safnað
isl	styrkja	styrkti	styrktu	styrkt
isl	hanna	hannaði	hönnuðu	hannað
isl	klippa	klippti	klipptu	klippt
isl	rugla	ruglaði	rugluðu	ruglað
isl	strengja	strengdi	strengdu	strengt
isl	skemmta	skemmti	skemmtu	skemmt
isl	missa	missti	misstu	misst
isl	dæsa	dæsti	dæstu	dæst
isl	stýfa	stýfði	stýfðu	stýft
isl	panta	pantaði	pöntuðu	pantað
isl	hrekkja	hrekkti	hrekktu	hrekkt
isl	sníða	sneið	sniðu	sniðið
isl	fælast	fælist	fældust	fælst
isl	glansa	glansar	glönsuðu	glansað
isl	etja	etur	öttu	att
isl	klekkja	klekkti	klekktu	klekkt
isl	blessa	blessaði	blessuðu	blessað
isl	kafna	kafnaði	köfnuðu	kafnað
isl	undiroka	undirokaði	undirokuðu	undirokað
isl	hafna	hafnar	höfnuðu	hafnað
isl	tipla	tiplar	tipluðu	tiplað
isl	frysta	frysti	frystu	fryst
isl	fljúga	flaug	flugu	flogið
isl	meðtaka	meðtók	meðtóku	meðtekið
isl	pipra	pipraði	pipruðu	piprað
isl	öfunda	öfundaði	öfunduðu	öfundað
isl	hrækja	hrækti	hræktu	hrækt
isl	pynda	pyndaði	pynduðu	pyndað
isl	úrskurða	úrskurðaði	úrskurðuðu	úrskurðað
isl	stífa	stífaði	stífuðu	stífað
isl	stríða	stríddi	stríddu	strítt
isl	brotna	brotnar	brotnuðu	brotnað
isl	hneggja	hneggjar	hneggjuðu	hneggjað
isl	narta	nartaði	nörtuðu	nartað
isl	ramba	rambar	römbuðu	rambað
isl	kveða	kvað	kváðu	kveðið
isl	bannfæra	bannfærði	bannfærðu	bannfært
isl	öfga	öfgaði	öfguðu	öfgað
isl	örvænta	örvænti	örvæntu	örvænt
isl	siga	sigar	siguðu	sigað
isl	bika	bikaði	bikuðu	bikað
isl	ergja	ergði	ergðu	ergt
isl	ölva	ölvaði	ölvuðu	ölvað
isl	rýra	rýrði	rýrðu	rýrt
isl	klekja	klakti	klöktu	klakið
isl	raupa	raupar	raupuðu	raupað
isl	sópa	sópaði	sópuðu	sópað
isl	klæða	klæddi	klæddu	klætt
isl	hampa	hampar	hömpuðu	hampað
isl	skýra	skýrði	skýrðu	skýrt
isl	teikna	teiknaði	teiknuðu	teiknað
isl	trega	tregaði	treguðu	tregað
isl	hrasa	hrasar	hrösuðu	hrasað
isl	eggja	eggjaði	eggjuðu	eggjað
isl	klípa	kleip	klipu	klipið
isl	plana	planaði	plönuðu	planað
isl	hlymja	hlymur	hlumdu	hlumið
isl	fyrirgera	fyrirgerir	fyrirgerðu	fyrirgert
isl	fræða	fræddi	fræddu	frætt
isl	aga	agaði	öguðu	agað
isl	væla	vælir	vældu	vælt
isl	gleyma	gleymdi	gleymdu	gleymt
isl	þrælka	þrælkaði	þrælkuðu	þrælkað
isl	fýra	fýrar	fýruðu	fýrað
isl	ydda	yddaði	ydduðu	yddað
isl	hata	hataði	hötuðu	hatað
fao	sveipa	sveipti	sveiptu	sveiptur
fao	hyggja	hugdi	hugdu	hugt
fao	jarma	jarmaði	jarmaðu	jarmað
fao	mutla	mutlaði	mutlaðu	mutlað
fao	spreka	sprekaði	sprekaðu	sprekað
fao	svíkja	sveik	sviku	svikin
fao	hildið	helt	hildu	hildin
fao	nýta	nýtti	nýttu	nýtt
fao	grógva	gróði	gróðu	grógvin
fao	hjálpa	hjálpti	hjálptu	hjálpt
fao	varðveita	varðveitti	varðveittu	varðveitt
fao	kasta	kastaði	kastaðu	kastað
fao	forelska	forelskaði	forelskaðu	forelskað
